entry_ID,AccessSiteCount,InvestigateSiteCount,SignInCount,user_email,entered_password,department,created_at
1,0,0,1,strujillo@example.net,P$zrd1cSH9,Finances,2024-12-04 00:00:00.0000000
2,0,0,1,mark10@example.com,KQofNQfQig,Sales and Marketing,2024-07-05 00:00:00.0000000
3,1,0,0,david85@example.com,NULL,Sales and Marketing,2024-10-02 00:00:00.0000000
4,1,0,0,sharon42@example.org,NULL,Finances,2025-01-03 00:00:00.0000000
5,1,0,0,millersteven@example.net,NULL,Sales and Marketing,2024-04-25 00:00:00.0000000
6,0,0,1,ugraves@example.com,+VeARHBBa-,Sales and Marketing,2024-09-06 00:00:00.0000000
7,0,1,0,dford@example.org,NULL,Finances,2024-07-13 00:00:00.0000000
8,0,1,0,kathleenanderson@example.org,NULL,Finances,2024-02-09 00:00:00.0000000
9,1,0,0,ffitzpatrick@example.net,NULL,Customer Relations,2024-01-12 00:00:00.0000000
10,0,1,0,davidcarter@example.org,NULL,Sales and Marketing,2024-11-03 00:00:00.0000000
11,0,0,1,whorn@example.net,K%iFtpj-5l,Finances,2024-05-20 00:00:00.0000000
12,0,1,0,teresaruiz@example.org,NULL,Finances,2024-10-25 00:00:00.0000000
13,0,1,0,patrickle@example.com,NULL,Finances,2024-02-14 00:00:00.0000000
14,1,0,0,shawnwarner@example.org,NULL,Sales and Marketing,2024-01-28 00:00:00.0000000
15,0,1,0,gardnerkeith@example.com,NULL,Sales and Marketing,2024-12-04 00:00:00.0000000
16,0,0,1,charlesruiz@example.com,a+KYWkd!CIC,Customer Relations,2024-12-17 00:00:00.0000000
17,1,0,0,arnoldcarlos@example.com,NULL,Customer Relations,2024-08-21 00:00:00.0000000
18,0,0,1,diamond61@example.com,L4^KkT9@2E,Customer Relations,2024-06-05 00:00:00.0000000
19,0,1,0,christopher16@example.org,NULL,Customer Relations,2024-12-17 00:00:00.0000000
20,1,0,0,pamela01@example.net,NULL,Sales and Marketing,2024-12-18 00:00:00.0000000
21,0,1,0,farmstrong@example.org,NULL,Finances,2024-03-26 00:00:00.0000000
22,1,0,0,ihudson@example.org,NULL,Customer Relations,2024-08-06 00:00:00.0000000
23,0,0,1,jgill@example.net,#y_jaH%A&F,Customer Relations,2024-09-18 00:00:00.0000000
24,1,0,0,jquinn@example.com,NULL,Customer Relations,2024-08-05 00:00:00.0000000
25,0,0,1,douglaspetersen@example.net,eYrZB6QXCi,Sales and Marketing,2024-07-30 00:00:00.0000000
26,1,0,0,parkerthomas@example.org,NULL,Sales and Marketing,2024-12-19 00:00:00.0000000
27,1,0,0,ryanyork@example.org,NULL,Finances,2024-07-01 00:00:00.0000000
28,0,0,1,evanstammy@example.org,nEO@d7j$+F,Sales and Marketing,2024-03-07 00:00:00.0000000
29,0,0,1,stephenwells@example.net,HT92bp4f3,Customer Relations,2024-11-11 00:00:00.0000000
30,1,0,0,johnsloan@example.net,NULL,Finances,2024-04-01 00:00:00.0000000
31,0,1,0,boyletimothy@example.com,NULL,Finances,2024-06-03 00:00:00.0000000
32,1,0,0,angelicajones@example.net,NULL,Customer Relations,2024-01-13 00:00:00.0000000
33,1,0,0,leetracy@example.org,NULL,Sales and Marketing,2024-11-13 00:00:00.0000000
34,0,0,1,seanjohnson@example.org,kblRDaq3rx,Customer Relations,2024-05-20 00:00:00.0000000
35,0,0,1,ericblack@example.com,iA!cVbPyea,Sales and Marketing,2024-07-21 00:00:00.0000000
36,0,0,1,bryan07@example.net,vrL4pc2htY,Finances,2024-04-02 00:00:00.0000000
37,1,0,0,david19@example.com,NULL,Finances,2024-11-06 00:00:00.0000000
38,0,0,1,bbowman@example.com,Bm-BINqbbf,Customer Relations,2024-02-27 00:00:00.0000000
39,1,0,0,theresa26@example.org,NULL,Sales and Marketing,2024-11-20 00:00:00.0000000
40,0,0,1,jamesjones@example.org,_+guKderB2,Sales and Marketing,2024-04-28 00:00:00.0000000
41,0,0,1,jessicablack@example.org,q^o2aVMV5,Finances,2024-11-22 00:00:00.0000000
42,0,1,0,jjones@example.net,NULL,Finances,2024-04-13 00:00:00.0000000
43,0,0,1,davidjones@example.net,fEFlz#pt&O,Sales and Marketing,2024-07-01 00:00:00.0000000
44,0,1,0,william91@example.com,NULL,Customer Relations,2024-12-31 00:00:00.0000000
45,0,1,0,steelenicholas@example.net,NULL,Sales and Marketing,2024-11-11 00:00:00.0000000
46,1,0,0,leslie75@example.org,NULL,Sales and Marketing,2024-02-25 00:00:00.0000000
47,0,0,1,joshua73@example.net,H@QQ1y#Iy,Customer Relations,2024-05-17 00:00:00.0000000
48,0,1,0,annbaldwin@example.net,NULL,Finances,2024-02-13 00:00:00.0000000
49,1,0,0,matthew76@example.net,NULL,Finances,2024-09-29 00:00:00.0000000
50,1,0,0,lisa66@example.com,NULL,Sales and Marketing,2024-11-13 00:00:00.0000000
